epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,545.133,0.53724,0.52982,0.82612,0.78634,0.73298,0.80573,0.72433,0.47857,0.98266,0.79122,0.00114651,0.00114651,0.00114651
43,557.502,0.53738,0.57131,0.82453,0.81022,0.77886,0.83399,0.76841,0.41496,0.7122,0.78368,0.00113382,0.00113382,0.00113382
44,569.651,0.52262,0.52268,0.82547,0.8807,0.73109,0.82848,0.75797,0.42427,0.74416,0.78533,0.00112112,0.00112112,0.00112112
45,582.269,0.51646,0.52735,0.8226,0.87136,0.74124,0.82961,0.75528,0.4373,0.73198,0.78761,0.00110843,0.00110843,0.00110843
46,594.546,0.53219,0.54045,0.82938,0.76248,0.79545,0.81818,0.74743,0.43226,0.74545,0.78691,0.00109573,0.00109573,0.00109573
47,606.751,0.52878,0.54369,0.82912,0.78871,0.76857,0.83107,0.75713,0.43479,0.741,0.78688,0.00108304,0.00108304,0.00108304
48,619.766,0.53996,0.51654,0.82496,0.73691,0.81858,0.83596,0.77095,0.39435,0.72942,0.78132,0.00107034,0.00107034,0.00107034
49,631.962,0.52762,0.5224,0.82379,0.75996,0.81185,0.84033,0.76502,0.4726,0.72406,0.79272,0.00105765,0.00105765,0.00105765
50,645.046,0.52228,0.50896,0.82621,0.78986,0.78387,0.82733,0.75517,0.44289,0.77258,0.78744,0.00104495,0.00104495,0.00104495
51,657.321,0.53327,0.53977,0.81831,0.83743,0.73569,0.81193,0.74819,0.40752,0.79258,0.78304,0.00103226,0.00103226,0.00103226
52,670.518,0.51597,0.50076,0.82545,0.81747,0.78272,0.84695,0.77561,0.44137,0.80962,0.78876,0.00101956,0.00101956,0.00101956
53,682.595,0.51742,0.49562,0.82124,0.81564,0.78434,0.84221,0.77307,0.42543,0.81663,0.78512,0.00100687,0.00100687,0.00100687
54,695.673,0.52307,0.5043,0.82625,0.82301,0.74722,0.81271,0.74946,0.41219,0.77661,0.7826,0.000994173,0.000994173,0.000994173
55,707.808,0.50493,0.50606,0.80822,0.84336,0.76171,0.8512,0.78792,0.40027,0.71881,0.78313,0.000981478,0.000981478,0.000981478
56,721.168,0.51329,0.51436,0.81976,0.82031,0.74459,0.8346,0.75615,0.44543,0.71737,0.78936,0.000968783,0.000968783,0.000968783
57,733.319,0.52507,0.50373,0.8143,0.75818,0.77408,0.83275,0.7639,0.42035,0.7346,0.78551,0.000956089,0.000956089,0.000956089
58,745.47,0.5094,0.46693,0.82028,0.80048,0.75131,0.82742,0.75669,0.4182,0.89543,0.78423,0.000943394,0.000943394,0.000943394
59,757.559,0.52288,0.51563,0.81699,0.8087,0.77474,0.8345,0.76196,0.44933,0.79538,0.78852,0.000930699,0.000930699,0.000930699
60,770.648,0.52658,0.47924,0.81984,0.80922,0.77602,0.8403,0.77484,0.4135,0.71683,0.78446,0.000918004,0.000918004,0.000918004
61,782.654,0.5243,0.47396,0.82182,0.78355,0.81325,0.83593,0.77407,0.40696,0.71154,0.78313,0.000905309,0.000905309,0.000905309
62,795.541,0.53029,0.48726,0.82161,0.80006,0.81717,0.84402,0.76676,0.44308,0.74053,0.7878,0.000892614,0.000892614,0.000892614
63,807.741,0.52235,0.48484,0.8178,0.77118,0.77937,0.82834,0.76583,0.39609,0.78877,0.78176,0.00087992,0.00087992,0.00087992
64,820.664,0.507,0.45701,0.82273,0.7525,0.80366,0.82707,0.7624,0.40194,0.74816,0.78365,0.000867225,0.000867225,0.000867225
65,832.737,0.50222,0.4593,0.81909,0.81854,0.79427,0.83942,0.77985,0.40083,0.70628,0.78312,0.00085453,0.00085453,0.00085453
66,845.094,0.49871,0.43991,0.81866,0.80876,0.77017,0.82615,0.76617,0.38854,0.75591,0.78046,0.000841835,0.000841835,0.000841835
67,857.329,0.49443,0.44344,0.81194,0.81969,0.74178,0.82491,0.76457,0.39445,0.77201,0.78165,0.00082914,0.00082914,0.00082914
68,870.367,0.48623,0.42248,0.81675,0.78499,0.77675,0.82462,0.76551,0.3844,0.81702,0.78027,0.000816445,0.000816445,0.000816445
69,882.622,0.50015,0.42989,0.82003,0.83457,0.76818,0.84683,0.78853,0.38073,0.72303,0.78015,0.00080375,0.00080375,0.00080375
70,896.019,0.5071,0.47173,0.81857,0.81074,0.74073,0.84664,0.78511,0.40168,0.75895,0.78163,0.000791056,0.000791056,0.000791056
71,908.146,0.49368,0.44562,0.8136,0.82478,0.77155,0.85941,0.80136,0.3868,0.67202,0.78001,0.000778361,0.000778361,0.000778361
72,920.697,0.49663,0.43528,0.81419,0.76755,0.81679,0.84057,0.78386,0.37687,0.73452,0.77853,0.000765666,0.000765666,0.000765666
73,932.921,0.49747,0.43183,0.81319,0.80645,0.76424,0.83131,0.76997,0.40473,0.82832,0.78172,0.000752971,0.000752971,0.000752971
74,945.104,0.49422,0.42056,0.81219,0.74754,0.78763,0.817,0.75962,0.3973,0.80564,0.78152,0.000740276,0.000740276,0.000740276
75,957.681,0.49928,0.4318,0.82113,0.73905,0.80312,0.81846,0.76729,0.3819,0.75648,0.77761,0.000727581,0.000727581,0.000727581
76,969.912,0.49266,0.40824,0.81749,0.79646,0.74534,0.82066,0.75949,0.40902,0.88821,0.78175,0.000714887,0.000714887,0.000714887
