epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,352.156,0.57167,0.83363,0.83718,0.83074,0.77816,0.84764,0.77484,0.43192,0.81046,0.788,0.00120491,0.00120491,0.00120491
30,364.484,0.56618,0.82963,0.8342,0.75211,0.7661,0.85664,0.79111,0.42016,0.86507,0.78731,0.0011884,0.0011884,0.0011884
31,376.814,0.54982,0.87733,0.82835,0.84733,0.77758,0.84458,0.75422,0.48993,0.79379,0.79774,0.0011719,0.0011719,0.0011719
32,388.881,0.54291,0.79965,0.82467,0.81764,0.77489,0.82935,0.7394,0.47766,0.81753,0.79699,0.0011554,0.0011554,0.0011554
33,401.009,0.56367,0.763,0.83192,0.69747,0.82457,0.84484,0.76939,0.4385,0.94524,0.78838,0.00113889,0.00113889,0.00113889
34,413.231,0.58014,0.8094,0.83939,0.60879,0.90812,0.84222,0.77336,0.40977,1.11002,0.78521,0.00112239,0.00112239,0.00112239
35,425.302,0.56781,0.77129,0.83217,0.82226,0.77225,0.84685,0.75628,0.4767,0.87152,0.79501,0.00110589,0.00110589,0.00110589
36,437.458,0.56009,0.76426,0.83965,0.72551,0.79795,0.83818,0.74552,0.49282,0.89623,0.79395,0.00108938,0.00108938,0.00108938
37,449.605,0.55056,0.75333,0.83392,0.63364,0.8286,0.80752,0.72267,0.49434,1.20843,0.79924,0.00107288,0.00107288,0.00107288
38,461.798,0.54515,0.76829,0.82808,0.82114,0.76963,0.82773,0.75036,0.45584,0.90728,0.79223,0.00105638,0.00105638,0.00105638
39,474.041,0.53476,0.73772,0.83166,0.81126,0.78418,0.84726,0.76761,0.45671,0.88437,0.79111,0.00103987,0.00103987,0.00103987
40,486.235,0.53931,0.75845,0.82732,0.67808,0.82517,0.83934,0.74632,0.52388,0.9796,0.80366,0.00102337,0.00102337,0.00102337
41,498.474,0.56825,0.78891,0.82987,0.84749,0.76178,0.85339,0.78458,0.41242,0.82743,0.78593,0.00100687,0.00100687,0.00100687
42,510.692,0.53323,0.72278,0.82847,0.81385,0.77487,0.83231,0.76426,0.41538,0.88534,0.78818,0.000990365,0.000990365,0.000990365
43,522.865,0.53077,0.71293,0.82732,0.81646,0.78166,0.84918,0.75749,0.50747,0.81601,0.79886,0.000973861,0.000973861,0.000973861
44,535.133,0.53867,0.69108,0.83265,0.77648,0.80105,0.83776,0.74113,0.54558,0.90453,0.80834,0.000957358,0.000957358,0.000957358
45,547.341,0.56007,0.75607,0.83113,0.79405,0.77932,0.82862,0.76893,0.39908,0.80702,0.78398,0.000940855,0.000940855,0.000940855
46,559.582,0.5202,0.70562,0.82913,0.83568,0.7831,0.86725,0.79817,0.41569,0.74516,0.78713,0.000924352,0.000924352,0.000924352
47,572.066,0.51891,0.7158,0.82992,0.76656,0.7914,0.82107,0.75356,0.41388,0.79777,0.78607,0.000907848,0.000907848,0.000907848
48,584.363,0.51556,0.67358,0.82342,0.78587,0.79581,0.84658,0.77694,0.41316,0.86464,0.78423,0.000891345,0.000891345,0.000891345
49,596.611,0.5385,0.70489,0.8278,0.80134,0.79471,0.8405,0.77853,0.38589,0.79793,0.78056,0.000874842,0.000874842,0.000874842
50,608.92,0.52605,0.67757,0.83099,0.75893,0.83473,0.85513,0.78772,0.40256,0.76381,0.78281,0.000858338,0.000858338,0.000858338
51,621.199,0.51837,0.71753,0.81736,0.66452,0.82811,0.82767,0.75283,0.44041,0.9152,0.78949,0.000841835,0.000841835,0.000841835
52,633.574,0.52054,0.70835,0.82799,0.78418,0.76481,0.82582,0.76028,0.42189,0.86437,0.7842,0.000825332,0.000825332,0.000825332
53,645.841,0.51456,0.67102,0.82296,0.76839,0.78796,0.8231,0.75134,0.42895,0.97546,0.7859,0.000808828,0.000808828,0.000808828
54,658.245,0.51524,0.65611,0.82755,0.80739,0.77413,0.83882,0.77177,0.40777,0.82422,0.78327,0.000792325,0.000792325,0.000792325
55,670.569,0.51205,0.63393,0.81243,0.73161,0.77043,0.84883,0.76573,0.4569,0.95926,0.79138,0.000775822,0.000775822,0.000775822
56,683.05,0.52676,0.63836,0.82265,0.69706,0.82411,0.82113,0.75699,0.41234,0.87569,0.7845,0.000759318,0.000759318,0.000759318
57,695.308,0.50353,0.6508,0.81273,0.66726,0.86786,0.84132,0.77646,0.4223,0.91206,0.78751,0.000742815,0.000742815,0.000742815
58,707.79,0.50449,0.6395,0.82349,0.7726,0.81591,0.84607,0.77589,0.40799,0.77068,0.78307,0.000726312,0.000726312,0.000726312
59,720.172,0.50302,0.62684,0.81625,0.77585,0.78676,0.83439,0.77289,0.38958,0.86175,0.78006,0.000709809,0.000709809,0.000709809
60,732.553,0.49923,0.59567,0.81506,0.78703,0.78396,0.8299,0.77021,0.39264,0.85472,0.78055,0.000693305,0.000693305,0.000693305
61,744.86,0.50004,0.60992,0.81863,0.88622,0.74444,0.83499,0.77625,0.36834,0.8185,0.77848,0.000676802,0.000676802,0.000676802
62,757.162,0.49092,0.57437,0.8178,0.75684,0.78917,0.83459,0.77347,0.38395,0.87281,0.78063,0.000660299,0.000660299,0.000660299
63,769.608,0.49547,0.59235,0.81433,0.78151,0.81654,0.84221,0.78033,0.38693,0.817,0.7796,0.000643795,0.000643795,0.000643795
64,781.853,0.48404,0.53509,0.81881,0.77547,0.79361,0.83151,0.77469,0.37458,0.8322,0.77819,0.000627292,0.000627292,0.000627292
65,794.245,0.48324,0.56242,0.81607,0.78822,0.7887,0.84496,0.78176,0.39544,0.79386,0.78172,0.000610789,0.000610789,0.000610789
66,806.55,0.47534,0.56333,0.81739,0.74431,0.79634,0.83374,0.77446,0.39845,0.79387,0.78235,0.000594286,0.000594286,0.000594286
67,818.954,0.47321,0.59678,0.81061,0.79967,0.76389,0.82502,0.76606,0.3746,0.98341,0.77854,0.000577782,0.000577782,0.000577782
68,831.333,0.47609,0.56039,0.81596,0.8822,0.72455,0.82417,0.76718,0.36623,0.94326,0.77692,0.000561279,0.000561279,0.000561279
69,843.739,0.46298,0.52555,0.81418,0.7522,0.80311,0.83345,0.77242,0.36811,0.78017,0.7763,0.000544776,0.000544776,0.000544776
70,856.102,0.47177,0.52586,0.81433,0.8862,0.7404,0.84397,0.78276,0.38421,0.78652,0.77911,0.000528272,0.000528272,0.000528272
71,868.455,0.46308,0.51762,0.81069,0.85574,0.75493,0.84151,0.78389,0.36233,0.79372,0.77562,0.000511769,0.000511769,0.000511769
72,880.867,0.46676,0.52223,0.81097,0.81103,0.78078,0.84189,0.78383,0.36165,0.79398,0.77494,0.000495266,0.000495266,0.000495266
73,893.206,0.47118,0.5159,0.81059,0.78016,0.79622,0.83473,0.78529,0.35051,0.83497,0.77475,0.000478762,0.000478762,0.000478762
74,905.678,0.47276,0.51492,0.81084,0.77679,0.82667,0.84857,0.7887,0.37553,0.7871,0.77646,0.000462259,0.000462259,0.000462259
75,917.942,0.4683,0.49092,0.81736,0.74977,0.79952,0.83436,0.77918,0.35996,0.83368,0.77546,0.000445756,0.000445756,0.000445756
76,930.286,0.45912,0.47131,0.81303,0.78498,0.77011,0.82518,0.773,0.36458,0.8723,0.77471,0.000429253,0.000429253,0.000429253
77,942.638,0.46377,0.48853,0.80812,0.79572,0.78387,0.82522,0.76906,0.38271,0.90039,0.77615,0.000412749,0.000412749,0.000412749
78,954.888,0.45521,0.47679,0.81392,0.76427,0.79925,0.82324,0.76775,0.3614,0.85803,0.77501,0.000396246,0.000396246,0.000396246
79,967.332,0.45618,0.46676,0.8104,0.77466,0.78952,0.81956,0.76732,0.35476,0.86133,0.77435,0.000379743,0.000379743,0.000379743
80,979.722,0.453,0.46776,0.80959,0.80221,0.77308,0.82642,0.77486,0.36201,0.87003,0.775,0.000363239,0.000363239,0.000363239
81,992.028,0.45442,0.45257,0.81809,0.74435,0.81016,0.82982,0.77927,0.35998,0.84563,0.7743,0.000346736,0.000346736,0.000346736
82,1004.39,0.44501,0.46979,0.80104,0.78188,0.79255,0.83098,0.77934,0.35132,0.83551,0.77286,0.000330233,0.000330233,0.000330233
83,1016.76,0.44338,0.44715,0.80528,0.78067,0.79002,0.83151,0.77932,0.34385,0.80616,0.77244,0.000313729,0.000313729,0.000313729
84,1029.04,0.43678,0.42224,0.80553,0.76925,0.79417,0.82993,0.78119,0.34518,0.85571,0.77293,0.000297226,0.000297226,0.000297226
85,1041.41,0.43756,0.42706,0.80929,0.81174,0.75679,0.81542,0.77258,0.33646,0.87434,0.77261,0.000280723,0.000280723,0.000280723
86,1053.82,0.44308,0.43265,0.80428,0.78652,0.76474,0.80227,0.75295,0.34778,0.92719,0.77296,0.00026422,0.00026422,0.00026422
