epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6775,0.97733,3.86234,0.98587,0.50315,0.89982,0.54744,0.47762,0.53887,2.0767,0.81707,0.00028339,0.00028339,0.00028339
2,25.6247,0.72002,1.59842,0.88443,0.40674,0.60268,0.43433,0.35756,0.72756,inf,0.85351,0.000577674,0.000577674,0.000577674
3,37.3582,0.67053,1.49029,0.86738,0.60197,0.77872,0.69171,0.54533,0.86037,2.01947,0.88979,0.000866017,0.000866017,0.000866017
4,49.888,0.74678,1.22915,0.89245,0.0613,0.18901,0.10973,0.07364,1.94754,8.5818,1.42088,0.00114842,0.00114842,0.00114842
5,61.4797,0.75273,1.31431,0.88815,0,0,0,0,0,11.9938,0,0.00142488,0.00142488,0.00142488
6,73.237,0.75535,1.23559,0.89707,0,0,0,0,nan,nan,nan,0.00158448,0.00158448,0.00158448
7,84.9323,0.70501,1.17469,0.88398,0,0,0,0,nan,nan,nan,0.00156798,0.00156798,0.00156798
8,96.6314,0.72644,1.13842,0.8746,0.37688,0.73802,0.36097,0.26165,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,108.333,0.77265,1.14737,0.89888,0.43647,0.88214,0.477,0.39827,0.72335,inf,0.88649,0.00153497,0.00153497,0.00153497
10,120.166,0.68811,1.13388,0.86776,0.5693,0.90084,0.77144,0.5881,0.85438,1.55327,0.88809,0.00151847,0.00151847,0.00151847
11,132.375,0.73802,1.16456,0.87227,0.73108,0.71867,0.75354,0.63775,0.63141,1.15362,0.82552,0.00150197,0.00150197,0.00150197
12,144.591,0.69667,1.10916,0.87419,0.7229,0.72393,0.77152,0.62779,0.72633,1.27067,0.84408,0.00148546,0.00148546,0.00148546
13,156.72,0.66293,1.05551,0.86037,0.77607,0.73035,0.79112,0.67472,0.66018,1.11712,0.83344,0.00146896,0.00146896,0.00146896
14,169.225,0.63236,1.03175,0.859,0.69811,0.78008,0.79234,0.63116,0.79507,1.07589,0.85484,0.00145246,0.00145246,0.00145246
15,181.442,0.67589,1.01122,0.86652,0.783,0.75654,0.8064,0.71704,0.50916,0.98973,0.80041,0.00143595,0.00143595,0.00143595
16,193.695,0.63287,0.99343,0.85434,0.76234,0.77965,0.81042,0.69478,0.5971,0.96564,0.81907,0.00141945,0.00141945,0.00141945
17,205.669,0.63939,0.9628,0.85803,0.76783,0.76963,0.81644,0.70681,0.58338,0.94159,0.8132,0.00140295,0.00140295,0.00140295
18,217.597,0.6578,1.00356,0.85733,0.82673,0.7645,0.81847,0.72325,0.54414,0.88896,0.80816,0.00138644,0.00138644,0.00138644
19,229.947,0.61587,1.00412,0.84949,0.83597,0.75532,0.81736,0.73822,0.48218,0.86728,0.79786,0.00136994,0.00136994,0.00136994
20,242.349,0.61848,0.9692,0.84434,0.73648,0.79319,0.8176,0.70901,0.55269,0.96123,0.81,0.00135344,0.00135344,0.00135344
21,254.632,0.64495,0.94961,0.85762,0.80081,0.78414,0.83431,0.75552,0.42456,0.82261,0.79218,0.00133693,0.00133693,0.00133693
22,267.012,0.58692,0.89958,0.84506,0.7736,0.82872,0.85385,0.76802,0.484,0.83799,0.80103,0.00132043,0.00132043,0.00132043
23,279.301,0.57809,0.92387,0.83767,0.7077,0.83584,0.82289,0.74657,0.47538,0.95802,0.79814,0.00130393,0.00130393,0.00130393
24,291.316,0.59639,0.90953,0.8425,0.78046,0.74885,0.82275,0.72591,0.54765,0.8973,0.80772,0.00128742,0.00128742,0.00128742
25,303.413,0.61519,0.94002,0.85364,0.7252,0.79449,0.80591,0.72634,0.46619,0.9344,0.79161,0.00127092,0.00127092,0.00127092
26,315.497,0.58825,0.90138,0.83597,0.80901,0.71368,0.77775,0.69579,0.4835,0.96095,0.79668,0.00125442,0.00125442,0.00125442
27,327.652,0.56613,0.84796,0.83868,0.7747,0.7644,0.83463,0.74049,0.52866,1.01885,0.80136,0.00123791,0.00123791,0.00123791
28,339.832,0.57428,0.84097,0.84137,0.81744,0.78584,0.84917,0.77248,0.43656,0.82514,0.79012,0.00122141,0.00122141,0.00122141
