epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3233,0.91694,3.2302,0.96485,0.76875,0.9989,0.82975,0.62126,0.96155,1.92137,0.90569,0.0003334,0.0003334,0.0003334
2,33.4006,0.74693,1.22285,0.89505,0.80022,0.6544,0.6832,0.5311,0.86926,5.19784,0.89533,0.000676704,0.000676704,0.000676704
3,47.6065,0.74384,1.0916,0.88914,0.50795,0.57127,0.51746,0.39646,0.84508,1.71237,0.91459,0.00101308,0.00101308,0.00101308
4,62.091,0.75737,0.92212,0.88653,0,0,0,0,nan,nan,nan,0.00134252,0.00134252,0.00134252
5,76.4055,0.77698,0.92135,0.90513,0,0,0,0,nan,nan,nan,0.00160099,0.00160099,0.00160099
6,90.8531,0.73713,0.99146,0.89785,0.01993,0.02412,0.00285,0.00172,nan,nan,nan,0.00158448,0.00158448,0.00158448
7,105.371,0.73984,0.98475,0.87567,0.6086,0.14145,0.14001,0.09961,1.97409,7.89104,1.4116,0.00156798,0.00156798,0.00156798
8,119.689,0.71674,0.84548,0.88337,0.83704,0.97999,0.87764,0.71817,0.71871,0.79908,0.85212,0.00155148,0.00155148,0.00155148
9,134.341,0.68013,0.81858,0.87162,0.74286,0.78875,0.74812,0.63865,0.76747,1.28299,0.88013,0.00153497,0.00153497,0.00153497
10,148.475,0.67992,0.77139,0.8659,0.73863,0.71271,0.72491,0.54715,0.78347,1.36648,0.91236,0.00151847,0.00151847,0.00151847
11,162.686,0.677,0.76599,0.86411,0.81869,0.91447,0.8644,0.69832,0.66183,0.86137,0.84188,0.00150197,0.00150197,0.00150197
12,176.949,0.65524,0.79782,0.86528,0.79523,0.98684,0.88647,0.76223,0.60892,0.7461,0.82195,0.00148546,0.00148546,0.00148546
13,191.479,0.70918,0.81363,0.86713,0.83265,0.99232,0.89185,0.76517,0.57502,0.72352,0.82524,0.00146896,0.00146896,0.00146896
14,206.005,0.68622,0.74771,0.86731,0.86609,0.75172,0.82257,0.66842,0.70359,1.6074,0.87395,0.00145246,0.00145246,0.00145246
15,220.198,0.68091,0.73646,0.8747,0.84468,0.93202,0.90947,0.78386,0.57215,0.67364,0.8246,0.00143595,0.00143595,0.00143595
16,234.737,0.6839,0.70237,0.87672,0.76797,0.96172,0.87656,0.6725,0.86031,0.90667,0.89005,0.00141945,0.00141945,0.00141945
17,248.939,0.77706,0.74652,0.90647,0.75847,0.9693,0.85036,0.69859,0.70128,0.87801,0.84728,0.00140295,0.00140295,0.00140295
18,263.13,0.75152,0.74548,0.88545,0.807,0.9386,0.86801,0.72168,0.71321,0.76149,0.8442,0.00138644,0.00138644,0.00138644
19,277.402,0.74411,0.76018,0.87921,0.84843,0.98818,0.92221,0.80206,0.54077,0.68904,0.80967,0.00136994,0.00136994,0.00136994
20,291.929,0.68014,0.73409,0.87288,0.87366,0.97056,0.92571,0.8065,0.54474,0.63233,0.81485,0.00135344,0.00135344,0.00135344
21,311.116,0.67042,0.72275,0.86059,0.79138,0.91776,0.88493,0.73652,0.63185,0.79976,0.83437,0.00133693,0.00133693,0.00133693
22,325.47,0.68978,0.69702,0.87438,0.84727,0.96491,0.91901,0.77992,0.63394,0.70089,0.83027,0.00132043,0.00132043,0.00132043
23,339.902,0.66496,0.72909,0.86669,0.83981,0.99342,0.91447,0.8269,0.46196,0.69786,0.79694,0.00130393,0.00130393,0.00130393
24,358.918,0.6376,0.68288,0.84892,0.8488,0.991,0.92295,0.81593,0.51734,0.63716,0.80167,0.00128742,0.00128742,0.00128742
25,373.212,0.65793,0.7193,0.85576,0.82794,0.98139,0.89834,0.81595,0.43148,0.64025,0.79263,0.00127092,0.00127092,0.00127092
26,387.426,0.63321,0.66449,0.85829,0.82769,0.91646,0.88704,0.76837,0.57261,0.68455,0.82243,0.00125442,0.00125442,0.00125442
27,401.717,0.63089,0.65279,0.85021,0.85493,0.98246,0.92522,0.81498,0.53014,0.62298,0.80965,0.00123791,0.00123791,0.00123791
28,415.992,0.64278,0.69032,0.85097,0.8216,0.99561,0.90355,0.8087,0.49183,0.74155,0.80027,0.00122141,0.00122141,0.00122141
29,430.222,0.63303,0.66944,0.84699,0.86839,0.98575,0.93344,0.85152,0.4336,0.6104,0.79279,0.00120491,0.00120491,0.00120491
30,449.106,0.5917,0.62758,0.84339,0.87674,0.97259,0.93288,0.83579,0.47572,0.58615,0.80015,0.0011884,0.0011884,0.0011884
31,463.448,0.61294,0.62551,0.85074,0.8514,0.98904,0.91035,0.82615,0.45083,0.61707,0.79413,0.0011719,0.0011719,0.0011719
32,477.762,0.61794,0.65394,0.8443,0.85759,0.98382,0.93037,0.82426,0.47737,0.61191,0.79643,0.0011554,0.0011554,0.0011554
33,492.141,0.60765,0.66815,0.84299,0.884,0.97588,0.92516,0.82333,0.5085,0.60295,0.80163,0.00113889,0.00113889,0.00113889
34,506.476,0.59849,0.69196,0.84114,0.86188,0.98355,0.92955,0.83644,0.46192,0.68675,0.79503,0.00112239,0.00112239,0.00112239
