epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4544,0.91349,2.98567,0.96129,0.52684,0.90027,0.6442,0.48704,0.95243,2.60851,0.90719,0.0003334,0.0003334,0.0003334
2,29.6589,0.71488,1.46457,0.88023,0.39087,0.70005,0.39976,0.32315,0.74924,inf,0.89784,0.000676704,0.000676704,0.000676704
3,44.2336,0.72149,1.21812,0.8764,0.00254,0.03995,0.00135,0.00035,4.59364,inf,12.9041,0.00101308,0.00101308,0.00101308
4,58.0488,0.73425,1.09768,0.87641,0.00284,0.043,0.00121,0.0004,nan,nan,nan,0.00134252,0.00134252,0.00134252
5,72.2724,0.7203,1.07727,0.88709,0,0,0,0,5.18443,10.2231,15.8057,0.00160099,0.00160099,0.00160099
6,86.9948,0.74283,0.98344,0.88807,0.54027,0.70298,0.56864,0.43408,0.9094,3.22662,0.92533,0.00158448,0.00158448,0.00158448
7,100.999,0.6804,1.04775,0.85619,0,0,0,0,1.27845,19761.2,0.83979,0.00156798,0.00156798,0.00156798
8,116.36,0.70052,1.01215,0.87358,0,0,0,0,nan,nan,nan,0.00155148,0.00155148,0.00155148
9,131.479,0.68666,0.96566,0.86522,0.64188,0.57847,0.58071,0.45761,0.93718,1.13104,1.05341,0.00153497,0.00153497,0.00153497
10,147.497,0.67896,0.91283,0.86396,0.52143,0.8919,0.69059,0.55576,0.75093,1.81674,0.86061,0.00151847,0.00151847,0.00151847
11,168.233,0.69117,0.98118,0.86751,0.6951,0.73228,0.76116,0.6586,0.59617,1.15215,0.8252,0.00150197,0.00150197,0.00150197
12,183.306,0.68179,0.95097,0.86882,0.7394,0.75721,0.79235,0.63887,0.73641,0.91406,0.85234,0.00148546,0.00148546,0.00148546
13,199.998,0.67261,0.88365,0.85582,0.55809,0.93352,0.8103,0.6795,0.63404,2.43013,0.82438,0.00146896,0.00146896,0.00146896
14,221.078,0.69305,0.91524,0.86216,0.7971,0.801,0.84427,0.7286,0.59141,0.82362,0.81972,0.00145246,0.00145246,0.00145246
15,244.846,0.68356,0.87061,0.86958,0.81914,0.78,0.82474,0.69249,0.60967,0.83728,0.82783,0.00143595,0.00143595,0.00143595
16,265.512,0.71419,0.8684,0.8841,0.75473,0.74069,0.75981,0.64119,0.60711,0.91677,0.82003,0.00141945,0.00141945,0.00141945
17,281.808,0.69696,0.88133,0.87955,0.75297,0.79671,0.83753,0.72429,0.56465,0.86142,0.81052,0.00140295,0.00140295,0.00140295
18,302.587,0.68361,0.8206,0.86027,0.75956,0.77289,0.81331,0.69642,0.6047,0.89249,0.81825,0.00138644,0.00138644,0.00138644
19,319.149,0.67323,0.85318,0.86139,0.77454,0.7494,0.79378,0.67447,0.617,1.0125,0.82104,0.00136994,0.00136994,0.00136994
